"kidzsgPFMDB220320","21032020|91FRCN2H1EO0KMZAM3FY","processing"
"kidzsgBZCWX230320","23032020|EOWQDFQZNZJYWA2H5MPC","processing"
"kidzsgBZCWX230320","23032020|HOIEY35VYGVU9MPE64M9","processing"
"kidzsgDBMAY230320","21032020|8V1R1500K7VAM0CI4LID","selection"
"kidzsgDBMAY230320","21032020|GHDEONJ2LVE33P65GGUX","selection"
"kidzsgNCQYI230320","23032020|C9N6HFIRV89JI76FNZEC","processing"
"kidzsgAKQIA230320","23032020|L4ESBDM326W4P6PDDTNO","processing"
"kidzsgYNWEZ230320","23032020|6OWG9IPR7KQWQ7UMWGP6","processing"
"kidzsgONAYM230320","23032020|M9LZK00J3EXAUHN91ZNM","selection"
"kidzsgONAYM230320","23032020|S1CJ4R6ODVEJJMY9W3RG","selection"
"kidzsgONAYM230320","23032020|UDEUPXZJ97ADLSKIYOYJ","selection"
"kidzsgPPGMZ230320","23032020|H6VF2RFRWQGCVKU4H3YU","processing"
"kidzsgONAYM230320","23032020|QFMYMB4NFPVTWNIW3C1L","selection"
"kidzsgPBFJM230320","23032020|C08IALF0812GFBGT6EGZ","processing"
"kidzsgJUOBF230320","23032020|4C6WGP65W58YDBW8MBIO","processing"
"kidzsgVNPVL230320","23032020|IL9DFQRGUYIZB8MQX6BF","processing"
"kidzsgIGUOO230320","23032020|HGIQ5VCFNS6AXDNBSYZJ","selection"
"kidzsgIGUOO230320","23032020|FRPZTEY4IMHL33AZVIHS","selection"
"kidzsgIGUOO230320","23032020|RU2B48WW3V9JOS0HPILQ","selection"
"kidzsgXBLMC230320","23032020|P1YFNBKUQZXPBWIUQHHR","processing"
"kidzsgIGUOO230320","23032020|ZCLGGUYWR4TX8WJTZ08H","selection"
"kidzsgJFRTJ230320","23032020|67KP4RE67Z9EBN72QQX6","processing"
"kidzsgJOLVQ230320","23032020|G74COAS7VK2ESLMGN8JR","processing"
"kidzsgVATHF230320","23032020|99NC9PFUL0OM212UKZLQ","processing"
"kidzsgTFPWP230320","23032020|Y9Z9VRDLLZDJS9M2ABXV","processing"
"kidzsgNSKWO230320","23032020|TLMZPJ8MEKZCFZS5PUQ4","processing"
"kidzsgTHGAW230320","23032020|RCYNXZGZQQ2U3YX7IPBT","selection"
"kidzsgCQXSX230320","23032020|4P4V7CTGPRYQMB9EQREQ","selection"
"kidzsgEVVIG230320","23032020|BJD7VEFBGUS2G9KX4CNL","processing"
"kidzsgRKDCH230320","23032020|3KHPTS5ZR5GYLZ2SF10O","processing"
"kidzsgIXPIJ230320","23032020|99IZC912FMXZ5847J8QF","processing"
"kidzsgVLSIU230320","23032020|S9TAAL68F98QGBIPX5BL","processing"
"kidzsgWWYMK230320","23032020|NGT62GJF6X7ZF2IDM0OY","processing"
"kidzsgNFIOX230320","23032020|D60PATFB2OW3JK8PX1GR","processing"
"kidzsgOPJBE230320","23032020|LNLB5TIMLO9TQ4DUQMJ1","selection"
"kidzsgWHIIW230320","23032020|Y9NBUM6U4F46VZB2ZHT8","selection"
"kidzsgQDEKJ230320","23032020|VJOL1BTGQWUI4S39CL9V","selection"
"kidzsgTOLOP240320","22032020|2NJWXTQX9V2BJ423CK4Z","selection"
"kidzsgMNRSL240320","22032020|M1PZJE1KUD6ZV8XZQ1JZ","processing"
"kidzsgOUNVM240320","24032020|WA0H5FGZ1JF2YTYQPHTQ","processing"
"kidzsgXMRDW240320","24032020|W6HU9L6QRGARQQ7B73RG","selection"
"kidzsgMPEAR240320","24032020|U6LT2MHV1SDR340DSPS6","processing"
"kidzsgAERXX240320","24032020|ZHLIRZSFAGPHE39SUGUC","processing"
"kidzsgCYHTU240320","24032020|YO0G20MSYW0BVYK655L2","processing"
"kidzsgXEJTI240320","24032020|QTKIYDIKCWOTOL2YPG5E","processing"
"kidzsgHVXRC240320","24032020|OK2GV2I598OQ8H1IBA5Z","processing"
"kidzsgCHSRS240320","24032020|U97U755NPW6QRX5ZN7HH","processing"
"kidzsgXEKBW240320","24032020|245Z6NGUR08BP6RVWZTU","processing"
"kidzsgZRBBX240320","24032020|A5CY5EFLKP8YISY2VTO6","processing"
"kidzsgFZLCU240320","24032020|3GPNYYP3T54YG6XF8OUG","processing"
"kidzsgOEVJW240320","24032020|KX14OPPM922JWU19ASD2","processing"
"kidzsgZHLGU240320","24032020|0I393287QPG6R5R23S62","processing"
"kidzsgGELJU240320","24032020|F8KVX43FJHFZ50LQNK8Z","processing"
"kidzsgEIIKZ240320","24032020|FGVJ53ZVNJEDG8QLHUVC","processing"
"kidzsgRMHCU260320","22032020|9VIIRNN06GKHG0QGMRS5","processing"
"kidzsgWVUWM260320","22032020|WNSM46TJWLAL53L3W1V6","selection"
"kidzsgJLQVQ260320","26032020|O6ZJAEGWNZ83B6D0QY9Z","selection"
"kidzsgJLQVQ260320","26032020|SJ28BW42NIBFYOKJCW5Y","selection"
"kidzsgJLQVQ260320","26032020|THLC53AT7MLMESW5EXWZ","processing"
"kidzsgJLQVQ260320","26032020|FGC01NLT6IZ18E1XRJGE","selection"
"kidzsgTKCMR260320","26032020|WWWMT17BU5Z3WGL9R9WP","processing"
"kidzsgONSXZ260320","26032020|BQT7YRET69VTUXCAARMW","processing"
"kidzsgYFTJB260320","26032020|67YP5BSRPR76RE2LU02H","processing"
"kidzsgKPVFY260320","26032020|FYPFSX5ZQRJB6BUCL1ZL","processing"
"kidzsgRVTOF260320","26032020|609QYHYO9FSY0CU0ZGRO","processing"
"kidzsgNNBAE260320","26032020|VEP3RVF5553K7RBMC6TS","processing"
"kidzsgSYQIS260320","26032020|LDY18WPB3L3A7R4OSK6I","processing"
"kidzsgCXTXB260320","26032020|UVRACCAFA72VUTIZB55W","processing"
"kidzsgFGVFM260320","26032020|K5DT74PQTTXCYZYRPPMA","processing"
"kidzsgJVQLQ260320","26032020|X2YOSOZB6F8VB4PYG5JG","processing"
"kidzsgMSQZE270320","27032020|XHEP28BZ9E14D7273IGI","processing"
"kidzsgPPABD270320","27032020|XBY4IZM5PFTHEN6ZFI12","processing"
"kidzsgBVBEH270320","27032020|WPM8DQDUE9PQ9CJHVSPW","selection"
"kidzsgZIUNR270320","27032020|OMKZRC0ZRFN8ESWJB6M5","processing"
"kidzsgGLOVR270320","27032020|R8CLDTIKJEQ9Z51GW5QT","processing"
"kidzsgXFDKW270320","27032020|Y0KKM3JOXIMCRDTDEHDN","processing"
"kidzsgGQNHX270320","27032020|9RZT8LLJW54L29EAD407","processing"
"kidzsgHNCOT270320","27032020|CFNGVL3OWF75C1EP5FIX","processing"
"kidzsgFBMER270320","27032020|NQDLQCE98RP8H9RXD0YX","processing"
"kidzsgHGVVQ270320","27032020|V1YWBJO3L5KNF58TXPSR","processing"
"kidzsgXVEGV270320","27032020|63PH9A87QDSI3CQVLUNT","processing"
"kidzsgNAVPM270320","27032020|PWKTJ1ZOSUCRQ6LEPG8W","processing"
"kidzsgQTMKF270320","27032020|2R7J9MWR4EWPE3E8FNNO","processing"
"kidzsgKRUSK270320","27032020|JAYWOOY6AIQ7GL42T05U","processing"
"kidzsgGQYOX270320","27032020|G1IFPORXOMPXZSTE33V0","processing"
"kidzsgPYVMQ270320","27032020|GJD0NM7G9O48YKXRINNJ","processing"
"kidzsgSZOQX270320","27032020|N5IWJ95N78WWB1HA0FUR","processing"
"kidzsgRRANY270320","27032020|2W8I8EKVIVS32310ZPEJ","processing"
"kidzsgPFCXB280320","28032020|XDJZO0GCLCSI9WGCSON8","processing"
"kidzsgGOVUT280320","28032020|4PEDST4Q0FSHSSN2AHXI","processing"
"kidzsgRDRQR280320","28032020|WMH44HASBPD0KKA3DOQM","processing"
"kidzsgMKKRL280320","28032020|8TIG7U7Q75WU705QLSCG","processing"
"kidzsgIOKRH280320","28032020|YWZJ12YMXTCGKYF5KTY4","processing"
"kidzsgRAQSO280320","28032020|1TLT1V9769GJCAV2NCYK","processing"
"kidzsgVJZFX280320","28032020|RC9OTSMX0GO8US4MIE60","selection"
"kidzsgYVLCO280320","28032020|1ONQ97CN6DTRIIXUCGLU","processing"
"kidzsgNGOAQ280320","28032020|8VMOSXCQEC0QCZ3X04YN","processing"
"kidzsgKXZPA280320","28032020|XYUMTV2IEIZ1L8VHVMTQ","processing"
"kidzsgECNEN280320","28032020|54BRA8YD61MG7QJPWTO3","processing"
"kidzsgGWOFB290320","21032020|U37VT6BZTWGUUNK6HPR3","processing"
